index,School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
86,Hamilton,Continentals,"Clinton, NY",NESCAC,1.0,Turf,1997.0,Hamilton,http://athletics.hamilton.edu//sports/football/schedule/2021,http://athletics.hamilton.edu//sports/football/schedule/2022
87,Hamline,Pipers,"St. Paul, MN",MIAC,6.0,Turf,1996.0,Hamline,http://hamlineathletics.com//sports/football/schedule/2021,http://hamlineathletics.com//sports/football/schedule/2022
88,Hampden-Sydney,Tigers,"Hampden-Sydney, VA",ODAC,3.0,Grass,986.0,Hampden-Sydney,http://hscathletics.com/sports/football/schedule/2021,http://hscathletics.com/sports/football/schedule/2022
89,Hanover,Panthers,"Hanover, IN",HCAC,4.0,Turf,1062.0,Hanover,https://athletics.hanover.edu/sports/football/schedule/2021,https://athletics.hanover.edu/sports/football/schedule/2022
90,Hardin-Simmons,Cowboys,"Abilene, TX",ASC,3.0,Turf,1614.0,Hardin-Simmons,http://www.hsuathletics.com//sports/m-footbl/2021-22/schedule,http://www.hsuathletics.com//sports/m-footbl/2022-23/schedule
91,Hartwick,Hawks,"Oneonta, NY",E8,2.0,Turf,1164.0,Hartwick,https://www.hartwickhawks.com/sports/football/schedule/2021-22,https://www.hartwickhawks.com/sports/football/schedule/2022-23
92,Heidelberg,Student Princes,"Tiffin, OH",OAC,4.0,Turf,1036.0,Heidelberg,http://www.bergathletics.com//sports/football/schedule/2021,http://www.bergathletics.com//sports/football/schedule/2022
93,Hendrix,Warriors,"Conway, AR",SAA,3.0,Turf,1101.0,Hendrix,http://www.hendrixwarriors.com/sports/football/schedule/2021,http://www.hendrixwarriors.com/sports/football/schedule/2022
94,Hilbert,Hawks,"Hamburg, NY",IND,2.0,TBA,686.0,NONE,,https://hilberthawks.com/sports/football/schedule/2022
95,Hiram,Terriers,"Hiram, OH",NCAC,4.0,Turf,801.0,Hiram,http://www.hiramterriers.com//sports/football/schedule/2021,http://www.hiramterriers.com//sports/football/schedule/2022
96,Hobart,Statesmen,"Geneva, NY",LL,2.0,Turf,2031.0,Hobart,http://www.hwsathletics.com//sports/football/schedule/2021,http://www.hwsathletics.com//sports/football/schedule/2022
97,Hope,Flying Dutchmen,"Holland, MI",MIAA,4.0,Turf,2910.0,Hope,http://athletics.hope.edu/sports/football/schedule/2021,http://athletics.hope.edu/sports/football/schedule/2022
98,Howard Payne,Yellow Jackets,"Brownwood, TX",ASC,3.0,Turf,738.0,Howard Payne,http://www.hpusports.com/sports/football/schedule/2021,http://www.hpusports.com/sports/football/schedule/2022
99,Huntingdon,Hawks,"Montgomery, AL",USAC,3.0,Turf,830.0,Huntingdon,http://www.huntingdonhawks.com/sports/fball/2021-22/schedule,http://www.huntingdonhawks.com/sports/fball/2022-23/schedule
100,Husson,Eagles,"Bangor, ME",CCC,1.0,Turf,2404.0,Husson,https://husson.prestosports.com/sports/fball/2021-22/schedule,https://husson.prestosports.com/sports/fball/2022-23/schedule
101,Illinois College,Blueboys,"Jacksonville, IL",MWC,5.0,Turf,1037.0,Illinois Col.,http://illinoiscollegeathletics.com/sports/football/schedule/2021,http://illinoiscollegeathletics.com/sports/football/schedule/2022
102,Illinois Wesleyan,Titans,"Bloomington, IL",CCIW,5.0,Turf,1610.0,Ill. Wesleyan,https://www.iwusports.com/sports/football/schedule/2021,https://www.iwusports.com/sports/football/schedule/2022
103,Ithaca,Bombers,"Ithaca, NY",LL,2.0,Grass,5735.0,Ithaca College,http://bombers.ithaca.edu//sports/football/schedule/2021,http://bombers.ithaca.edu//sports/football/schedule/2022
104,John Carroll,Blue Streaks,"University Heights, OH",OAC,4.0,Turf,2904.0,John Carroll,http://www.jcusports.com//sports/football/schedule/2021,http://www.jcusports.com//sports/football/schedule/2022
105,Johns Hopkins,Blue Jays,"Baltimore, MD",CC,2.0,Turf,6006.0,Johns Hopkins,http://www.hopkinssports.com//sports/football/schedule/2021,http://www.hopkinssports.com//sports/football/schedule/2022
106,Juniata,Eagles,"Huntingdon, PA",CC,2.0,Turf,1269.0,Juniata,https://www.juniatasports.net/sports/fball/2021-22/schedule,https://www.juniatasports.net/sports/fball/2022-23/schedule
